price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,age,day_of_year,bed_bath_ratio,level_ratio,relative_living_space,relative_lot_size,level_difference
221900.0,3,1.0,1180,5650,1.0,3,7,1180,0.0,1955,1340,5650,24538 days 16:47:18.657898,286,3.0,0.0,-160,0,1180.0
538000.0,3,2.25,2570,7242,2.0,3,7,2170,400.0,1951,1690,7639,25999 days 16:47:18.657898,343,1.3333333333333333,5.425,880,-397,1770.0
180000.0,2,1.0,770,10000,1.0,3,6,770,0.0,1933,2720,8062,32573 days 16:47:18.657898,056,2.0,0.0,-1950,1938,770.0
604000.0,4,3.0,1960,5000,1.0,5,7,1050,910.0,1965,1360,5000,20885 days 16:47:18.657898,343,1.3333333333333333,1.1538461538461537,600,0,140.0
510000.0,3,2.0,1680,8080,1.0,3,8,1680,0.0,1987,1800,7503,12850 days 16:47:18.657898,049,1.5,0.0,-120,577,1680.0
1230000.0,4,4.5,5420,101930,1.0,3,1,3890,1530.0,2001,4760,101930,7736 days 16:47:18.657898,132,0.8888888888888888,2.542483660130719,660,0,2360.0
291850.0,3,1.5,1060,9711,1.0,3,7,1060,0.0,1963,1650,9711,21616 days 16:47:18.657898,015,2.0,0.0,-590,0,1060.0
229500.0,3,1.0,1780,7470,1.0,3,7,1050,730.0,1960,1780,8113,22712 days 16:47:18.657898,105,3.0,1.4383561643835616,0,-643,320.0
323000.0,3,2.5,1890,6560,2.0,3,7,1890,0.0,2003,2390,7570,7006 days 16:47:18.657898,071,1.2,0.0,-500,-1010,1890.0
662500.0,3,2.5,3560,9796,1.0,3,8,1860,1700.0,1965,2210,8925,20885 days 16:47:18.657898,093,1.2,1.0941176470588236,1350,871,160.0
468000.0,2,1.0,1160,6000,1.0,4,7,860,300.0,1942,1330,6000,29286 days 16:47:18.657898,147,2.0,2.8666666666666667,-170,0,560.0
310000.0,3,1.0,1430,19901,1.5,4,7,1430,0.0,1927,1780,12697,34765 days 16:47:18.657898,148,3.0,0.0,-350,7204,1430.0
400000.0,3,1.75,1370,9680,1.0,4,7,1370,0.0,1977,1370,10208,16502 days 16:47:18.657898,280,1.7142857142857142,0.0,0,-528,1370.0
530000.0,5,2.0,1810,4850,1.5,3,7,1810,0.0,1900,1360,4850,44626 days 16:47:18.657898,071,2.5,0.0,450,0,1810.0
650000.0,4,3.0,2950,5000,2.0,3,9,1980,970.0,1979,2140,4000,15772 days 16:47:18.657898,024,1.3333333333333333,2.0412371134020617,810,1000,1010.0
395000.0,3,2.0,1890,14040,2.0,3,7,1890,0.0,1994,1890,14018,10293 days 16:47:18.657898,212,1.5,0.0,0,22,1890.0
